1		2		1		6.328105E-02
1		51		1		6.328105E-02
2		3		1		6.328105E-02
2		52		1		6.328105E-02
3		4		1		6.328105E-02
3		53		1		6.328105E-02
4		5		1		6.328105E-02
4		54		1		6.328105E-02
5		6		1		6.328105E-02
5		55		1		6.328105E-02
6		7		1		6.328105E-02
6		56		1		6.328105E-02
7		8		1		6.328105E-02
7		57		1		6.328105E-02
8		9		1		6.328105E-02
8		58		1		6.328105E-02
9		10		1		6.328105E-02
9		59		1		6.328105E-02
10		11		1		6.328105E-02
10		60		1		6.328105E-02
11		12		1		6.328105E-02
11		61		1		6.328105E-02
12		13		1		6.328105E-02
12		62		1		6.328105E-02
13		14		1		6.328105E-02
13		63		1		6.328105E-02
14		15		1		6.328105E-02
14		64		1		6.328105E-02
15		16		1		6.328105E-02
15		65		1		6.328105E-02
16		17		1		6.328105E-02
16		66		1		6.328105E-02
17		18		1		6.328105E-02
17		67		1		6.328105E-02
18		19		1		6.328105E-02
18		68		1		6.328105E-02
19		20		1		6.328105E-02
19		69		1		6.328105E-02
20		21		1		6.328105E-02
20		70		1		6.328105E-02
21		22		1		6.328105E-02
21		71		1		6.328105E-02
22		23		1		6.328105E-02
22		72		1		6.328105E-02
23		24		1		6.328105E-02
23		73		1		6.328105E-02
24		25		1		6.328105E-02
24		74		1		6.328105E-02
25		26		1		6.328105E-02
25		75		1		6.328105E-02
26		27		1		6.328105E-02
26		76		1		6.328105E-02
27		28		1		6.328105E-02
27		77		1		6.328105E-02
28		29		1		6.328105E-02
28		78		1		6.328105E-02
29		30		1		6.328105E-02
29		79		1		6.328105E-02
30		31		1		6.328105E-02
30		80		1		6.328105E-02
31		32		1		6.328105E-02
31		81		1		6.328105E-02
32		33		1		6.328105E-02
32		82		1		6.328105E-02
33		34		1		6.328105E-02
33		83		1		6.328105E-02
34		35		1		6.328105E-02
34		84		1		6.328105E-02
35		36		1		6.328105E-02
35		85		1		6.328105E-02
36		37		1		6.328105E-02
36		86		1		6.328105E-02
37		38		1		6.328105E-02
37		87		1		6.328105E-02
38		39		1		6.328105E-02
38		88		1		6.328105E-02
39		40		1		6.328105E-02
39		89		1		6.328105E-02
40		41		1		6.328105E-02
40		90		1		6.328105E-02
41		42		1		6.328105E-02
41		91		1		6.328105E-02
42		43		1		6.328105E-02
42		92		1		6.328105E-02
43		44		1		6.328105E-02
43		93		1		6.328105E-02
44		45		1		6.328105E-02
44		94		1		6.328105E-02
45		46		1		6.328105E-02
45		95		1		6.328105E-02
46		47		1		6.328105E-02
46		96		1		6.328105E-02
47		48		1		6.328105E-02
47		97		1		6.328105E-02
48		49		1		6.328105E-02
48		98		1		6.328105E-02
49		50		1		6.328105E-02
49		99		1		6.328105E-02
50		100		1		6.328105E-02
51		52		1		6.328105E-02
51		101		1		6.328105E-02
52		53		1		6.328105E-02
52		102		1		6.328105E-02
53		54		1		6.328105E-02
53		103		1		6.328105E-02
54		55		1		6.328105E-02
54		104		1		6.328105E-02
55		56		1		6.328105E-02
55		105		1		6.328105E-02
56		57		1		6.328105E-02
56		106		1		6.328105E-02
57		58		1		6.328105E-02
57		107		1		6.328105E-02
58		59		1		6.328105E-02
58		108		1		6.328105E-02
59		60		1		6.328105E-02
59		109		1		6.328105E-02
60		61		1		6.328105E-02
60		110		1		6.328105E-02
61		62		1		6.328105E-02
61		111		1		6.328105E-02
62		63		1		6.328105E-02
62		112		1		6.328105E-02
63		64		1		6.328105E-02
63		113		1		6.328105E-02
64		65		1		6.328105E-02
64		114		1		6.328105E-02
65		66		1		6.328105E-02
65		115		1		6.328105E-02
66		67		1		6.328105E-02
66		116		1		6.328105E-02
67		68		1		6.328105E-02
67		117		1		6.328105E-02
68		69		1		6.328105E-02
68		118		1		6.328105E-02
69		70		1		6.328105E-02
69		119		1		6.328105E-02
70		71		1		6.328105E-02
70		120		1		6.328105E-02
71		72		1		6.328105E-02
71		121		1		6.328105E-02
72		73		1		6.328105E-02
72		122		1		6.328105E-02
73		74		1		6.328105E-02
73		123		1		6.328105E-02
74		75		1		6.328105E-02
74		124		1		6.328105E-02
75		76		1		6.328105E-02
75		125		1		6.328105E-02
76		77		1		6.328105E-02
76		126		1		6.328105E-02
77		78		1		6.328105E-02
77		127		1		6.328105E-02
78		79		1		6.328105E-02
78		128		1		6.328105E-02
79		80		1		6.328105E-02
79		129		1		6.328105E-02
80		81		1		6.328105E-02
80		130		1		6.328105E-02
81		82		1		6.328105E-02
81		131		1		6.328105E-02
82		83		1		6.328105E-02
82		132		1		6.328105E-02
83		84		1		6.328105E-02
83		133		1		6.328105E-02
84		85		1		6.328105E-02
84		134		1		6.328105E-02
85		86		1		6.328105E-02
85		135		1		6.328105E-02
86		87		1		6.328105E-02
86		136		1		6.328105E-02
87		88		1		6.328105E-02
87		137		1		6.328105E-02
88		89		1		6.328105E-02
88		138		1		6.328105E-02
89		90		1		6.328105E-02
89		139		1		6.328105E-02
90		91		1		6.328105E-02
90		140		1		6.328105E-02
91		92		1		6.328105E-02
91		141		1		6.328105E-02
92		93		1		6.328105E-02
92		142		1		6.328105E-02
93		94		1		6.328105E-02
93		143		1		6.328105E-02
94		95		1		6.328105E-02
94		144		1		6.328105E-02
95		96		1		6.328105E-02
95		145		1		6.328105E-02
96		97		1		6.328105E-02
96		146		1		6.328105E-02
97		98		1		6.328105E-02
97		147		1		6.328105E-02
98		99		1		6.328105E-02
98		148		1		6.328105E-02
99		100		1		6.328105E-02
99		149		1		6.328105E-02
100		150		1		6.328105E-02
101		102		1		6.328105E-02
101		151		1		6.328105E-02
102		103		1		6.328105E-02
102		152		1		6.328105E-02
103		104		1		6.328105E-02
103		153		1		6.328105E-02
104		105		1		6.328105E-02
104		154		1		6.328105E-02
105		106		1		6.328105E-02
105		155		1		6.328105E-02
106		107		1		6.328105E-02
106		156		1		6.328105E-02
107		108		1		6.328105E-02
107		157		1		6.328105E-02
108		109		1		6.328105E-02
108		158		1		6.328105E-02
109		110		1		6.328105E-02
109		159		1		6.328105E-02
